commune,city_label,wikidata_id,type_label,continent,contientLabel,pays,paysLabel,communauteAutonome,province_label,coordonnees,latitude,longitude,elevation,pointCulminant,pointCulminantLabel,superficie,population
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12399763,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12399747,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12398376,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12395419,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12395277,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12394624,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12393938,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12387199,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12387195,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12385981,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q12385623,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q8124010,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1603003,Cervantes,Q1603003,city,http://www.wikidata.org/entity/Q20548379,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.073055555 42.867777777),42.867777777,-7.073055555,624,,,276.4,1142
http://www.wikidata.org/entity/Q1616622,Cervo,Q1616622,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.4095392 43.6696938),43.6696938,-7.4095392,465,,,78,4137
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20548785,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20548465,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20548325,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20547920,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20547558,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20546767,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20544519,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20542976,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
