espace,space_label,wikidata_id,type_label,communaute_label,province_label,coordonnees,area,visiteurs,climatLabel
http://www.wikidata.org/entity/Q1401508,El Montseny,Q1401508,parque natural,Cataluña,provincia de Barcelona,Point(2.4 41.78),31063.9,,
http://www.wikidata.org/entity/Q21082678,Parque Natural de las Cabeceras del Ter y del Freser,Q21082678,parque natural,Cataluña,provincia de Gerona,Point(2.221666666 42.39),14547.93,,
http://www.wikidata.org/entity/Q21082678,Parque Natural de las Cabeceras del Ter y del Freser,Q21082678,parque natural,Cataluña,provincia de Gerona,Point(2.221666666 42.39),14579.43822,,
http://www.wikidata.org/entity/Q3752505,Parque de Garraf,Q3752505,parque natural,Cataluña,,Point(1.87502 41.2914),12377,,
http://www.wikidata.org/entity/Q3752505,Parque de Garraf,Q3752505,parque natural,Cataluña,,Point(1.87502 41.2914),14820.37671,,
http://www.wikidata.org/entity/Q3324705,Parque del Montnegre i el Corredor,Q3324705,parque natural,Cataluña,,Point(2.55123056 41.66047222),15010,,
http://www.wikidata.org/entity/Q2051956,Parque natural de Los Puertos,Q2051956,parque natural,Cataluña,,Point(0.31860278 40.80783056),35050,,
http://www.wikidata.org/entity/Q2051956,Parque natural de Los Puertos,Q2051956,parque natural,Cataluña,,Point(0.31860278 40.80783056),35404.4537,,
http://www.wikidata.org/entity/Q9056030,Parque natural de la Sierra de Marina,Q9056030,parque natural,Cataluña,,Point(2.23388889 41.49055556),,,
http://www.wikidata.org/entity/Q9056032,Parque natural de la Sierra de Montsant,Q9056032,parque natural,Cataluña,provincia de Tarragona,Point(0.797803 41.292953),9257.64834,,
http://www.wikidata.org/entity/Q9056032,Parque natural de la Sierra de Montsant,Q9056032,parque natural,Cataluña,provincia de Tarragona,Point(0.797803 41.292953),11755.82,,
http://www.wikidata.org/entity/Q23498616,Plans de Sió,Q23498616,parque natural,Cataluña,,Point(1.152671 41.715737),10387.03929,,
http://www.wikidata.org/entity/Q3329589,'Sant Llorenç del Munt i l''Obac',Q3329589,parque natural,Cataluña,provincia de Barcelona,Point(1.992644 41.671886),300,,
http://www.wikidata.org/entity/Q3329589,'Sant Llorenç del Munt i l''Obac',Q3329589,parque natural,Cataluña,provincia de Barcelona,Point(1.992644 41.671886),16149.75989,,
http://www.wikidata.org/entity/Q20103776,Serres de Milany-Santa Magdalena i Puigsacalm-Bellmunt,Q20103776,parque natural,Cataluña,,Point(2.32 42.15),15815.19212,,
http://www.wikidata.org/entity/Q18005415,Parc de Pedra Tosca,Q18005415,reserva natural,Cataluña,,Point(2.460975 42.163985),2.5,,
http://www.wikidata.org/entity/Q3825842,Marjal de Pego-Oliva,Q3825842,parque natural,Comunidad Valenciana,,Point(-0.064133128 38.871029965),1255.18968,,
http://www.wikidata.org/entity/Q11937381,Mont del Coto,Q11937381,parque natural,Comunidad Valenciana,,Point(-0.9589 38.38311111),2400,,
http://www.wikidata.org/entity/Q3825013,Parque natural de El Hondo,Q3825013,parque natural,Comunidad Valenciana,,Point(-0.7525 38.18194444),2386.7689,,
http://www.wikidata.org/entity/Q3825013,Parque natural de El Hondo,Q3825013,parque natural,Comunidad Valenciana,,Point(-0.7525 38.18194444),2387,,
http://www.wikidata.org/entity/Q9056026,Parque natural de la Puebla de San Miguel,Q9056026,parque natural,Comunidad Valenciana,,Point(-1.12584167 40.04818333),6343.29654,,
http://www.wikidata.org/entity/Q9056026,Parque natural de la Puebla de San Miguel,Q9056026,parque natural,Comunidad Valenciana,,Point(-1.12584167 40.04818333),6390,,
http://www.wikidata.org/entity/Q11940164,Parque natural de la Sierra Calderona,Q11940164,parque natural,Comunidad Valenciana,,Point(-0.49277778 39.72916667),18019,,
http://www.wikidata.org/entity/Q11940164,Parque natural de la Sierra Calderona,Q11940164,parque natural,Comunidad Valenciana,,Point(-0.49277778 39.72916667),18095.14716,,
http://www.wikidata.org/entity/Q11697974,Parque natural del Desierto de las Palmas,Q11697974,parque natural,Comunidad Valenciana,,Point(0.0408333 40.0839),3096.37358,,
http://www.wikidata.org/entity/Q9056042,Parque natural del Peñagolosa,Q9056042,parque natural,Comunidad Valenciana,provincia de Castellón,Point(-0.34916667 40.22583333),1088.87067,,
http://www.wikidata.org/entity/Q9056042,Parque natural del Peñagolosa,Q9056042,parque natural,Comunidad Valenciana,provincia de Castellón,Point(-0.34916667 40.22583333),1094.45,,
http://www.wikidata.org/entity/Q9056043,Parque natural del Turia,Q9056043,parque natural,Comunidad Valenciana,,Point(-0.51666667 39.51666667),4480,,
http://www.wikidata.org/entity/Q657937,'Penyal d''Ifac',Q657937,parque natural,Comunidad Valenciana,,Point(0.07444444 38.63472222),51.08759,,clima mediterráneo
http://www.wikidata.org/entity/Q657937,'Penyal d''Ifac',Q657937,parque natural,Comunidad Valenciana,,Point(0.07444444 38.63472222),53.3,,clima mediterráneo
http://www.wikidata.org/entity/Q9056027,Serra Gelada i Litoral de la Marina Baixa,Q9056027,parque natural,Comunidad Valenciana,,Point(-0.07666667 38.54472222),5709.53385,,
http://www.wikidata.org/entity/Q5398302,Reserva natural de las Islas Columbretes,Q5398302,reserva natural,Comunidad Valenciana,,Point(0.683333333 39.883333333),,,
http://www.wikidata.org/entity/Q1968939,Parque nacional de Monfragüe,Q1968939,parque nacional,Extremadura,provincia de Cáceres,Point(-5.97 39.82),179,,
http://www.wikidata.org/entity/Q1968939,Parque nacional de Monfragüe,Q1968939,parque nacional,Extremadura,provincia de Cáceres,Point(-5.97 39.82),18009.96841,,
http://www.wikidata.org/entity/Q90147627,Parque natural de Cornalvo,Q90147627,parque natural,Extremadura,provincia de Badajoz,Point(-6.227875 39.030919444),11363.98589,,
http://www.wikidata.org/entity/Q90147627,Parque natural de Cornalvo,Q90147627,parque natural,Extremadura,provincia de Badajoz,Point(-6.227875 39.030919444),11601,,
http://www.wikidata.org/entity/Q1658753,Illas Cíes,Q1658753,parque nacional,Galicia,,Point(-8.9 42.233333333),4.4635,,
http://www.wikidata.org/entity/Q20549859,Parque de las Marismas de Alba,Q20549859,parque natural,Galicia,,Point(-8.646833333 42.4495),67,,
http://www.wikidata.org/entity/Q11697964,Serra da Enciña da Lastra,Q11697964,parque natural,Galicia,,Point(-6.840555555 42.464444444),3185.79302,,
http://www.wikidata.org/entity/Q91925838,Finca de Ribavellosa,Q91925838,parque natural,La Rioja,,,,,
http://www.wikidata.org/entity/Q91927187,Finca de Ribavellosa,Q91927187,parque natural,La Rioja,,Point(-2.589555555 42.244277777),200,,
http://www.wikidata.org/entity/Q6063135,Parque natural de la Sierra de Cebollera,Q6063135,parque natural,La Rioja,,Point(-2.66972222 42.11972222),23.64,,
http://www.wikidata.org/entity/Q6063135,Parque natural de la Sierra de Cebollera,Q6063135,parque natural,La Rioja,,Point(-2.66972222 42.11972222),17812.97097,,
http://www.wikidata.org/entity/Q1324805,parque nacional de la Sierra de Guadarrama,Q1324805,parque nacional,Comunidad de Madrid,provincia de Segovia,Point(-3.98333333 40.78333333),33960,,
http://www.wikidata.org/entity/Q6063212,Parque regional del Sureste,Q6063212,parque natural,Comunidad de Madrid,,Point(-3.5 40.2833),,,
http://www.wikidata.org/entity/Q113559005,Soto del Henares,Q113559005,parque natural,Comunidad de Madrid,,Point(-3.295100068 40.517379717),332,,
